"chrom"	"maploc"	"rCountT"	"rCountN"	"vafT"	"vafN"	"het"	"keep"	"gcpct"	"gcbias"	"cnlr"	"valor"	"lorvar"	"seg"	"seg0"	"segclust"	"ID"
24	2655371	57	77	0	0	0	1	0.464	0.0647220183456616	-0.970047343785458	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	2722600	31	41	0	0	0	1	0.43	0.0752114295160144	-0.937379316091948	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	2829550	63	89	0	0	0	1	0.366	0.00571655451868809	-0.976405918130111	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	4971450	31	66	0	0	0	1	0.294	-0.27863891437064	-1.25730073988431	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	5258450	69	82	0	0	0	1	0.326	-0.15926507744313	-0.566100426536981	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	5911000	54	73	0	0	0	1	0.301	-0.257031394475627	-0.648424285480481	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	6736150	30	41	0	0	0	1	0.462	0.0655705176310956	-0.972964281962654	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	7194050	45	47	0	0	0	1	0.559	0.0202375552805385	-0.556951514886513	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	13568303	145	191	0	0	0	1	0.458	0.0672691219192522	-0.946314805267854	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	13568400	86	95	0	0	0	1	0.471	0.0617693369853436	-0.685009550031678	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	13573100	75	83	0	0	0	1	0.428	0.0754702564060115	-0.700120374293111	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	13574421	81	75	0	0.0133333333333333	0	1	0.416	0.0758564184254867	-0.44704820167176	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	14891400	29	43	0	0	0	1	0.331	-0.136094875523024	-0.885102721765558	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15362950	43	47	0	0	0	1	0.312	-0.219056962337565	-0.381218791426176	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15372200	51	92	0	0	0	1	0.309	-0.230129939367788	-1.08534680080225	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15409592	76	100	0	0	0	1	0.325	-0.163899117827151	-0.707884712812163	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15410900	95	106	0	0	0	1	0.38	0.0404744650638092	-0.678822966357366	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15414864	29	45	0	0	0	1	0.361	-0.0101163901710627	-1.07521154453723	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15417350	47	51	0	0	0	1	0.304	-0.247271659265115	-0.344040334651848	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15435550	80	80	0	0	0	1	0.359	-0.0173537116196437	-0.463375591859836	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15436444	57	66	0	0	0	1	0.314	-0.21127806332462	-0.4747342337107	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15438100	59	71	0	0	0	1	0.331	-0.136094875523024	-0.605174999665608	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15447750	98	101	0	0	0	1	0.408	0.0737805458550725	-0.598875772829476	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15447850	56	37	0	0	0	1	0.409	0.0743099167327164	0.0329228557435148	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15470400	78	101	0	0	0	1	0.298	-0.266367222363476	-0.582826144377529	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15470950	154	164	0	0	0	1	0.314	-0.21127806332462	-0.363057742312817	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15471150	113	132	0	0	0	1	0.312	-0.219056962337565	-0.486130594108189	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15471700	46	52	0	0	0	1	0.375	0.0295995303993074	-0.678510751863199	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15472400	121	154	0	0	0	1	0.344	-0.0770531659794399	-0.751461816844033	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15478232	62	60	0	0	0	1	0.369	0.0142863814839702	-0.446436993007967	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15522850	46	37	0	0	0	1	0.324	-0.168389019852115	-0.000529260492163591	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15582150	33	52	0	0	0	1	0.314	-0.21127806332462	-0.90008426683479	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	15860550	108	105	0	0	0	1	0.372	0.022391238524968	-0.464689755692012	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	19370750	28	37	0	0	0	1	0.316	-0.203102249985544	-0.654842567591219	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
24	19371000	25	63	0	0	0	1	0.332	-0.131444949689767	-1.63383730374896	NA	NA	37	37	1	"01-IM6_P-0025469-N01-IM6/coun"
